date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:29:02	36766/36766	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:58%20GMT	http://azim.commonsupport.com/Appway/feature-layout-10.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/feature-layout-10.html	(from http://azim.commonsupport.com/Appway/)
04:29:03	36142/36142	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:02%20GMT	http://azim.commonsupport.com/Appway/subscribe-layout-1.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/subscribe-layout-1.html	(from http://azim.commonsupport.com/Appway/)
04:29:04	36124/36124	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:06%20GMT	http://azim.commonsupport.com/Appway/subscribe-layout-2.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/subscribe-layout-2.html	(from http://azim.commonsupport.com/Appway/)
04:29:05	36187/36187	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:10%20GMT	http://azim.commonsupport.com/Appway/subscribe-layout-3.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/subscribe-layout-3.html	(from http://azim.commonsupport.com/Appway/)
04:29:06	35934/35934	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:44%20GMT	http://azim.commonsupport.com/Appway/video-layout-1.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/video-layout-1.html	(from http://azim.commonsupport.com/Appway/)
04:29:07	38487/38487	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:48%20GMT	http://azim.commonsupport.com/Appway/video-layout-2.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/video-layout-2.html	(from http://azim.commonsupport.com/Appway/)
04:29:08	36837/36837	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:18%20GMT	http://azim.commonsupport.com/Appway/download-layout-1.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/download-layout-1.html	(from http://azim.commonsupport.com/Appway/)
04:29:09	36386/36386	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:22%20GMT	http://azim.commonsupport.com/Appway/download-layout-2.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/download-layout-2.html	(from http://azim.commonsupport.com/Appway/)
04:29:10	36741/36741	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:26%20GMT	http://azim.commonsupport.com/Appway/download-layout-3.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/download-layout-3.html	(from http://azim.commonsupport.com/Appway/)
04:29:11	36171/36171	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:50:34%20GMT	http://azim.commonsupport.com/Appway/rider-layout-1.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/rider-layout-1.html	(from http://azim.commonsupport.com/Appway/)
04:29:12	36185/36185	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:50:38%20GMT	http://azim.commonsupport.com/Appway/rider-layout-2.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/rider-layout-2.html	(from http://azim.commonsupport.com/Appway/)
04:29:13	36680/36680	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:50:42%20GMT	http://azim.commonsupport.com/Appway/rider-layout-3.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/rider-layout-3.html	(from http://azim.commonsupport.com/Appway/)
04:29:14	36188/36188	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:50:48%20GMT	http://azim.commonsupport.com/Appway/rider-layout-4.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/rider-layout-4.html	(from http://azim.commonsupport.com/Appway/)
04:29:15	36393/36393	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:51:40%20GMT	http://azim.commonsupport.com/Appway/solution-layout-1.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/solution-layout-1.html	(from http://azim.commonsupport.com/Appway/)
04:29:16	36497/36497	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:51:44%20GMT	http://azim.commonsupport.com/Appway/solution-layout-2.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/solution-layout-2.html	(from http://azim.commonsupport.com/Appway/)
04:29:17	37453/37453	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:48:28%20GMT	http://azim.commonsupport.com/Appway/news-layout-1.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/news-layout-1.html	(from http://azim.commonsupport.com/Appway/)
04:29:18	36904/36904	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:48:32%20GMT	http://azim.commonsupport.com/Appway/news-layout-2.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/news-layout-2.html	(from http://azim.commonsupport.com/Appway/)
